,Time (ms),Channel,Temp (C),RH %,Voltage,Sensor Resistance (kOhms),Label,Accuracy
0,-0.5025910297510056,1.0,27.71,-0.1925303691758211,-0.5783615688873164,-0.5724671509453761,2.0,1.84406707738701e-05
1,-0.5023899847169179,1.0,27.71,-0.1925303691758211,-0.5783615688873164,-0.5724671509453761,2.0,1.8444378621952538e-05
2,-0.5022629562625441,1.0,27.71,-0.1925303691758211,-0.5615830335896275,-0.55618010416316,2.0,1.906686533929053e-05
3,-0.5021169235512167,1.0,27.71,-0.1925303691758211,-0.5582273265300858,-0.5529207203755634,2.0,1.9196214741555793e-05
4,-0.5020129002499973,1.0,27.71,-0.1925303691758211,-0.5515159124110218,-0.5464000420605334,2.0,1.9453930620358225e-05
5,-0.5018738691070213,1.0,27.71,-0.1925303691758211,-0.5330595235835475,-0.5284546920459395,2.0,2.017793462813872e-05
6,-0.5017428397564467,1.0,27.71,-0.1925303691758211,-0.5246702999185938,-0.5202911954525573,2.0,2.051739989103629e-05
7,-0.5015027859844018,1.0,27.71,-0.20624344934459699,-0.4894353757934499,-0.4859597984483696,2.0,2.1701164983683397e-05
8,-0.5014037638034333,1.0,27.71,-0.20624344934459699,-0.4793682546148444,-0.4761375607447356,2.0,2.213929739512192e-05
9,-0.5012787357971599,1.0,27.71,-0.20624344934459699,-0.46762327990646313,-0.46467081296185536,2.0,2.2662028861698016e-05
10,-0.5011907160807434,1.0,27.71,-0.20624344934459699,-0.4592340562415094,-0.4564753512834247,2.0,2.304303097765835e-05
11,-0.5009776683580535,1.0,27.71,-0.20624344934459699,-0.43742196035451286,-0.4351479121578524,2.0,2.406396930604643e-05
12,-0.500878646177085,1.0,27.71,-0.20624344934459699,-0.42232127858658985,-0.4203664686500395,2.0,2.479635378479682e-05
13,-0.5007726224277651,1.0,27.71,-0.20624344934459699,-0.39715351962394724,-0.39570100685079423,2.0,2.6066097505327452e-05
14,-0.5006145870278356,1.0,27.71,-0.20624344934459699,-0.38708639844533194,-0.3858244125797356,2.0,2.6595370026094403e-05
15,-0.5004235442342497,1.0,27.71,-0.20624344934459699,-0.36024074196903744,-0.35945769570904224,2.0,2.80542517455455e-05
16,-0.5003005166760768,1.0,27.71,-0.20624344934459699,-0.3451400602011145,-0.34460776412049554,2.0,2.89107539985845e-05
17,-0.5002004942710581,1.0,27.71,-0.20624344934459699,-0.33842869006593657,-0.3380034710344225,2.0,2.9301222337803543e-05
18,-0.5000814676090858,1.0,27.71,-0.20624344934459699,-0.31997230123847187,-0.3198279763881677,2.0,3.039809358401233e-05
19,-0.49999744878887,1.0,27.71,-0.20624344934459699,-0.3065494730003149,-0.3065967797947111,2.0,3.122183714877223e-05
20,-0.4997904024104812,1.0,27.71,-0.20624344934459699,-0.2880930841728697,-0.2883864539536652,2.0,3.239458480422083e-05
21,-0.49964136902700335,1.0,27.71,-0.20624344934459699,-0.269636739329291,-0.2701559260196331,2.0,3.361011057173429e-05
22,-0.4994973367637764,1.0,27.71,-0.20624344934459699,-0.25118035050183607,-0.25190517608908175,2.0,3.487177820366012e-05
23,-0.49932529822714417,1.0,27.71,-0.22734049575809942,-0.24111322932323054,-0.24194168296289656,2.0,3.4840588715007806e-05
24,-0.4991732641715157,1.0,27.71,-0.22734049575809942,-0.21930117742011987,-0.22033338498604707,2.0,3.6392224520660154e-05
25,-0.49900522653108426,1.0,27.71,-0.22734049575809942,-0.20587834918196285,-0.20702185770562553,2.0,3.7384543869516155e-05
26,-0.49884319023495394,1.0,27.71,-0.22734049575809942,-0.19413337447359133,-0.19536544909120573,2.0,3.827590616269122e-05
27,-0.49871416133247976,1.0,27.71,-0.22734049575809942,-0.18238839976521007,-0.18370080041127734,2.0,3.9187550659601524e-05
28,-0.49859713511860787,1.0,27.71,-0.22734049575809942,-0.16560986446752113,-0.1670226689739114,2.0,4.052554750209793e-05
29,-0.4985011136097899,1.0,27.71,-0.22734049575809942,-0.16560986446752113,-0.1670226689739114,2.0,4.052943908671106e-05
